Client IP,Client Port,Server IP,Server Port,TCP Connection Id,Timestamp comienzo(REQ),Timestamp final(REQ),Timestamp comienzo(RSP),Timestamp final(RSP),SMB2 command name,HayError?,Tipo de error,isCancelled,Tree id, ,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Direccion IP del cliente de la conexion,Puerto del cliente,Direccion IP del servidor,Puerto del servidor,El identificador de la conexione que emplea procesaConexiones,Timestamp del comienzo del request,Timestamp del final del request,Timestamp del comienzo del response,Timestamp del final del response,"Negotiate, Session_Setup, Logoff, Tree_Connect, Tree_Disconnect, Create, Close,Flush, Read, Write, Lock, Ioctl, Cancel, Echo, Query_Directory, Change_Notify, Query_Info, Set_Info, Oplock_Break",Vale 1 si hay error en la respuesta y 0 si exito,Codigo en el campo Status de la respuesta (hexadecimal),Vale 1 si se vio un comando de CANCEL para este comando,,,,,,,
,,,,,,,,,TREE_CONNECT,,,,,Path,,,,,
,,,,,,,,,CREATE,,,,,FileID GUID (RSP) ,CreateOptions (REQ),FileAttributes (REQ) ,FileAttributes (RSP) ,AllocationSize (RSP),FilePath 
,,,,,,,,,CLOSE,,,,,FileID GUID (REQ/RSP) ,CreationTime (RSP) ,LastWrite (RSP),LastChange (RSP),File Attributes (RSP) ,EnfOfFile (RSP)
,,,,,,,,,QUERY_INFO,,,,,FileID GUID (REQ/RSP) ,InfoType (REQ),FileInfoClass (REQ),,,
,,,,,,,,,SET_INFO,,,,,FileID GUID (REQ/RSP) ,InfoType (REQ),FileInfoClass (REQ),"NewFilePathSolo para la File Info Class numero 10 (renombrado), contiene el nuevo path anonimizado (salvo la ultima extension,mantiene la estructura de subdirectorios)",,
,,,,,,,,,READ,,,,,FileID GUID (REQ/RSP),Length (REQ),Offset (REQ) ,DataLength (RSP) ,DataRemaining (RSP) ,
,,,,,,,,,WRITE,,,,,FileID GUID (REQ/RSP) ,Length (REQ),Offset (REQ) ,DataLength (RSP) ,,
,,,,,,,,,FLUSH,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,LOCK,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,IOCTL,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,QUERY_DIRECTORY,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,CHANGE_NOTIFY,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
192.168.1.4,49245,192.168.1.5,445,40,22.360154,22.360154,22.363659,22.363659,NEGOTIATE,0,0,0,0.0,,,,,,
192.168.1.4,49245,192.168.1.5,445,40,22.367534,22.367534,22.368349,22.368349,SESSION_SETUP,0,c0000016,0,0.0,,,,,,
