"No.","Time","Source","Destination","Protocol","Length","Command","Message ID","Tree Id","Session Id","Create Options","File Id","Info"
"1522","263.994299600","127.0.0.1","127.0.0.1","SMB2","240","Create","12","0x00000005","0x0001740000000045","0x00200000","","Create Request, File: CarpetaVacia"
"1554","263.995885800","127.0.0.1","127.0.0.1","SMB2","296","Create","20","0x00000005","0x0001740000000045","0x00200021","000001da-005d-0000-0d00-00005d000000","Create Request, File: CarpetaVacia"
"1556","263.996086800","127.0.0.1","127.0.0.1","SMB2","288","Create","20","0x00000005","0x0001740000000045","","000001da-005d-0000-0d00-00005d000000","Create Response, File: CarpetaVacia"
"1566","263.996237600","127.0.0.1","127.0.0.1","SMB2","136","Close","23","0x00000005","0x0001740000000045","","000001da-005d-0000-0d00-00005d000000","Close Request, File: CarpetaVacia"
"1568","263.996290100","127.0.0.1","127.0.0.1","SMB2","172","Close","23","0x00000005","0x0001740000000045","","000001da-005d-0000-0d00-00005d000000","Close Response, File: CarpetaVacia"
"1598","263.997755400","127.0.0.1","127.0.0.1","SMB2","296","Create","31","0x00000005","0x0001740000000045","0x00200021","","Create Request, File: CarpetaVacia"
"1602","263.997846000","127.0.0.1","127.0.0.1","SMB2","240","Create","32","0x00000005","0x0001740000000045","0x00200000","000001dd-005d-0000-1900-00005d000000","Create Request, File: CarpetaVacia"
"1604","263.997890300","127.0.0.1","127.0.0.1","SMB2","288","Create","32","0x00000005","0x0001740000000045","","000001dd-005d-0000-1900-00005d000000","Create Response, File: CarpetaVacia"
"1614","263.997973400","127.0.0.1","127.0.0.1","SMB2","136","Close","35","0x00000005","0x0001740000000045","","000001dd-005d-0000-1900-00005d000000","Close Request, File: CarpetaVacia"
"1616","263.997992100","127.0.0.1","127.0.0.1","SMB2","172","Close","35","0x00000005","0x0001740000000045","","000001dd-005d-0000-1900-00005d000000","Close Response, File: CarpetaVacia"
"1646","263.999006700","127.0.0.1","127.0.0.1","SMB2","296","Create","43","0x00000005","0x0001740000000045","0x00000021","000001e0-005d-0000-2500-00005d000000","Create Request, File: CarpetaVacia"
"1648","263.999069800","127.0.0.1","127.0.0.1","SMB2","288","Create","43","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","Create Response, File: CarpetaVacia"
"1694","264.000609100","127.0.0.1","127.0.0.1","SMB2","388","SetInfo","55","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","SetInfo Request SEC_INFO/SMB2_SEC_INFO_00"
"1696","264.000934200","127.0.0.1","127.0.0.1","SMB2","114","SetInfo","55","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","SetInfo Response, File: CarpetaVacia"
"1698","264.001024700","127.0.0.1","127.0.0.1","SMB2","184","SetInfo","56","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","SetInfo Request FILE_INFO/SMB2_FILE_BASIC_INFO"
"1700","264.001059200","127.0.0.1","127.0.0.1","SMB2","114","SetInfo","56","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","SetInfo Response, File: CarpetaVacia"
"1706","264.001144200","127.0.0.1","127.0.0.1","SMB2","184","SetInfo","58","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","SetInfo Request FILE_INFO/SMB2_FILE_BASIC_INFO"
"1708","264.001220500","127.0.0.1","127.0.0.1","SMB2","114","SetInfo","58","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","SetInfo Response, File: CarpetaVacia"
"1710","264.001254100","127.0.0.1","127.0.0.1","SMB2","136","Close","59","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","Close Request, File: CarpetaVacia"
"1712","264.001300400","127.0.0.1","127.0.0.1","SMB2","172","Close","59","0x00000005","0x0001740000000045","","000001e0-005d-0000-2500-00005d000000","Close Response, File: CarpetaVacia"
"1714","264.001382500","127.0.0.1","127.0.0.1","SMB2","240","Create","60","0x00000005","0x0001740000000045","0x00000020","000001e2-005d-0000-2d00-00005d000000","Create Request, File: CarpetaVacia"
"1716","264.001455200","127.0.0.1","127.0.0.1","SMB2","288","Create","60","0x00000005","0x0001740000000045","","000001e2-005d-0000-2d00-00005d000000","Create Response, File: CarpetaVacia"
"1742","264.001843200","127.0.0.1","127.0.0.1","SMB2","184","SetInfo","67","0x00000005","0x0001740000000045","","000001e2-005d-0000-2d00-00005d000000","SetInfo Request FILE_INFO/SMB2_FILE_BASIC_INFO"
"1744","264.001913500","127.0.0.1","127.0.0.1","SMB2","114","SetInfo","67","0x00000005","0x0001740000000045","","000001e2-005d-0000-2d00-00005d000000","SetInfo Response, File: CarpetaVacia"
"1746","264.001948300","127.0.0.1","127.0.0.1","SMB2","136","Close","68","0x00000005","0x0001740000000045","","000001e2-005d-0000-2d00-00005d000000","Close Request, File: CarpetaVacia"
"1748","264.001998300","127.0.0.1","127.0.0.1","SMB2","172","Close","68","0x00000005","0x0001740000000045","","000001e2-005d-0000-2d00-00005d000000","Close Response, File: CarpetaVacia"
"1750","264.002075500","127.0.0.1","127.0.0.1","SMB2","240","Create","69","0x00000005","0x0001740000000045","0x00200000","000001e4-005d-0000-3500-00005d000000","Create Request, File: CarpetaVacia"
"1752","264.002140300","127.0.0.1","127.0.0.1","SMB2","288","Create","69","0x00000005","0x0001740000000045","","000001e4-005d-0000-3500-00005d000000","Create Response, File: CarpetaVacia"
"1762","264.002251700","127.0.0.1","127.0.0.1","SMB2","136","Close","72","0x00000005","0x0001740000000045","","000001e4-005d-0000-3500-00005d000000","Close Request, File: CarpetaVacia"
